timestamp,close_spy,high_spy,low_spy,open_spy,volume_spy
2020-01-02,299.4064636230469,299.4249140098017,297.24987779194856,298.18072230420165,59151200
2020-01-03,297.1392822265625,298.2728840920659,295.93196319223426,295.98725810025013,77709700
2020-01-06,298.2728271484375,298.3557694946267,295.24988941754117,295.36970440389786,55653900
2020-01-07,297.4341735839844,298.180682883535,296.98256105203933,297.7014229007024,40496400
2020-01-08,299.01934814453125,300.24508925384606,297.37886716238296,297.6276942107322,68296000
2020-01-09,301.0469665527344,301.12071185388226,300.0055321473559,300.5953820541723,48473300
2020-01-10,300.1806335449219,301.79346742317296,299.7106267972333,301.6368078824737,53029300
2020-01-13,302.2450256347656,302.25422270129854,300.37413979775033,300.80730194354135,47086800
2020-01-14,301.7843322753906,302.86261139633285,301.22212972573976,301.80275454113786,62832800
2020-01-15,302.4662170410156,303.2311486258918,301.60911790811434,301.6920602636609,72056600
2020-01-16,304.98223876953125,304.98223876953125,303.6274574172638,303.8578622178155,54050300
2020-01-17,305.9315185546875,306.14347297991804,304.9177317636267,305.70111374424584,95846000
2020-01-21,305.3324890136719,306.14351856728973,304.8901297121286,304.9638468871887,77742400
2020-01-22,305.36932373046875,306.85314537164913,305.2126642058298,306.19877544341773,48914900
2020-01-23,305.71954345703125,306.1342833761721,303.5906052066956,304.71498183408573,51963000
2020-01-24,303.000732421875,306.46602959305443,301.7012459826827,306.3830872406276,87578400
2020-01-27,298.143798828125,299.63681737007647,297.36964210732,297.7106366970762,84062500
2020-01-28,301.2680969238281,302.1528434311375,298.2359620503976,299.5815181319117,63834000
2020-01-29,301.019287109375,302.8717508769843,300.81652974115116,302.64134605516574,53888900
2020-01-30,301.9962463378906,302.2082289307867,298.18075654491133,298.93646309772066,75491800
2020-01-31,296.5126037597656,301.5262152765022,295.59098440927124,301.3695276116583,113845600
2020-02-03,298.7152099609375,300.5953210000547,297.88575830784004,298.0055733036759,69083000
2020-02-04,303.2680358886719,304.1435854487345,302.03306943724914,302.3556418080927,62573200
2020-02-05,306.7701721191406,306.98215467327867,304.7518518235987,306.22642013305193,65951100
2020-02-06,307.80242919921875,307.9959613803611,306.71489703118635,307.7379090969748,50359700
2020-02-07,306.16192626953125,307.81160447752046,305.60894909410797,306.7333257047532,64139400
2020-02-10,308.4474792480469,308.5119993363603,305.23103753073127,305.26791017056513,42070000
2020-02-11,308.9820556640625,310.604086297444,308.44750078868236,309.81150730195765,54864500
2020-02-12,310.9727783203125,311.18473274648915,310.06035614149124,310.42899821472605,43992700
2020-02-13,310.64093017578125,311.6178441672684,309.2585015321014,309.5349760106042,54501900
2020-02-14,311.1387023925781,311.25851740979283,309.8484409102483,311.0557600250274,64582200
2020-02-18,310.3368835449219,311.20320795519984,308.9360041790649,310.1341261696315,57226200
2020-02-19,311.8206787109375,312.5026680105172,311.02809959257075,311.3137993329671,48814700
2020-02-20,310.5396423339844,312.09718124089915,307.5259291454667,311.2677013491961,74163400
2020-02-21,307.3415832519531,309.4889436288402,306.51210346524795,309.1755964735546,113788200
2020-02-24,297.1485290527344,307.41535418856796,296.06099682287345,297.81209612282277,161088400
2020-02-25,288.1442565917969,299.1668150883396,287.259509975587,298.54934593323037,218913200
2020-02-26,287.0843505859375,293.1762393565182,286.34706655376704,289.55428303185,194773800
2020-02-27,274.1909484863281,287.1396875294625,274.1909484863281,281.5178045527755,284353500
