symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2025-07-17 08:41:00+00:00,624.62,624.62,624.62,624.62,190.0,11.0,624.62
SPY,2025-07-17 08:42:00+00:00,624.57,624.57,624.57,624.57,946.0,20.0,624.57
SPY,2025-07-17 08:43:00+00:00,624.65,624.65,624.61,624.61,1692.0,27.0,624.639083
SPY,2025-07-17 08:44:00+00:00,624.62,624.62,624.54,624.59,1157.0,36.0,624.573333
SPY,2025-07-17 08:45:00+00:00,624.59,624.59,624.57,624.57,322.0,13.0,624.58
SPY,2025-07-17 08:46:00+00:00,624.41,624.41,624.29,624.31,1393.0,24.0,624.315295
SPY,2025-07-17 08:47:00+00:00,624.39,624.45,624.37,624.45,2492.0,30.0,624.387022
SPY,2025-07-17 08:51:00+00:00,624.44,624.48,624.44,624.48,580.0,12.0,624.453333
SPY,2025-07-17 08:52:00+00:00,624.61,624.63,624.61,624.63,2187.0,55.0,624.626289
SPY,2025-07-17 08:53:00+00:00,624.65,624.65,624.65,624.65,364.0,5.0,624.65
SPY,2025-07-17 08:54:00+00:00,624.65,624.65,624.65,624.65,679.0,16.0,624.65
SPY,2025-07-17 08:55:00+00:00,624.65,624.68,624.65,624.67,745.0,15.0,624.667073
SPY,2025-07-17 08:57:00+00:00,624.7,624.7,624.69,624.69,1504.0,38.0,624.696667
SPY,2025-07-17 09:00:00+00:00,624.59,624.6,624.59,624.6,474.0,15.0,624.595
SPY,2025-07-17 09:01:00+00:00,624.66,624.66,624.63,624.64,1324.0,28.0,624.641905
SPY,2025-07-17 09:02:00+00:00,624.67,624.73,624.67,624.73,827.0,26.0,624.694691
SPY,2025-07-17 09:03:00+00:00,624.76,624.8,624.76,624.8,2204.0,42.0,624.781356
SPY,2025-07-17 09:07:00+00:00,624.67,624.69,624.67,624.69,2947.0,25.0,624.680763
SPY,2025-07-17 09:08:00+00:00,624.83,624.83,624.83,624.83,4828.0,43.0,624.83
SPY,2025-07-17 09:09:00+00:00,624.86,624.86,624.86,624.86,416.0,7.0,624.86
SPY,2025-07-17 09:12:00+00:00,624.82,624.82,624.82,624.82,660.0,22.0,624.82
SPY,2025-07-17 09:14:00+00:00,624.94,624.94,624.94,624.94,333.0,12.0,624.94
SPY,2025-07-17 09:15:00+00:00,624.9,624.9,624.9,624.9,489.0,8.0,624.9
SPY,2025-07-17 09:16:00+00:00,624.91,624.95,624.91,624.95,742.0,15.0,624.94
SPY,2025-07-17 09:17:00+00:00,624.97,625.0,624.97,625.0,776.0,40.0,624.982658
SPY,2025-07-17 09:18:00+00:00,625.01,625.01,625.01,625.01,836.0,25.0,625.01
SPY,2025-07-17 09:21:00+00:00,624.92,624.92,624.91,624.92,1969.0,40.0,624.9125
SPY,2025-07-17 09:23:00+00:00,624.87,624.87,624.87,624.87,473.0,18.0,624.87
SPY,2025-07-17 09:24:00+00:00,624.86,624.86,624.82,624.82,764.0,15.0,624.850698
SPY,2025-07-17 09:25:00+00:00,624.88,624.88,624.88,624.88,959.0,10.0,624.88
SPY,2025-07-17 09:26:00+00:00,624.89,624.89,624.89,624.89,510.0,13.0,624.89
SPY,2025-07-17 09:27:00+00:00,624.85,624.85,624.85,624.85,356.0,13.0,624.85
SPY,2025-07-17 09:30:00+00:00,624.93,624.93,624.93,624.93,922.0,16.0,624.93
SPY,2025-07-17 09:31:00+00:00,625.02,625.02,625.02,625.02,541.0,23.0,625.02
SPY,2025-07-17 09:32:00+00:00,625.01,625.01,624.98,624.98,316.0,7.0,624.995
SPY,2025-07-17 09:34:00+00:00,624.95,625.01,624.95,625.01,5014.0,61.0,625.001141
SPY,2025-07-17 09:35:00+00:00,625.01,625.01,624.99,624.99,869.0,15.0,625.0
SPY,2025-07-17 09:36:00+00:00,625.0,625.0,625.0,625.0,785.0,21.0,625.0
SPY,2025-07-17 09:38:00+00:00,624.96,624.97,624.96,624.97,1044.0,14.0,624.968
SPY,2025-07-17 09:42:00+00:00,624.86,624.86,624.86,624.86,296.0,4.0,624.86
SPY,2025-07-17 09:43:00+00:00,624.8,624.8,624.8,624.8,262.0,4.0,624.8
SPY,2025-07-17 09:45:00+00:00,624.85,624.85,624.85,624.85,304.0,9.0,624.85
SPY,2025-07-17 09:47:00+00:00,624.83,624.83,624.83,624.83,544.0,14.0,624.83
SPY,2025-07-17 09:51:00+00:00,624.76,624.76,624.71,624.71,747.0,14.0,624.749362
SPY,2025-07-17 09:52:00+00:00,624.71,624.71,624.71,624.71,441.0,10.0,624.71
SPY,2025-07-17 09:57:00+00:00,624.66,624.66,624.64,624.64,631.0,19.0,624.654595
SPY,2025-07-17 10:00:00+00:00,624.68,624.68,624.68,624.68,139.0,5.0,624.68
SPY,2025-07-17 10:06:00+00:00,624.7,624.7,624.7,624.7,303.0,7.0,624.7
SPY,2025-07-17 10:08:00+00:00,624.69,624.71,624.69,624.71,1097.0,20.0,624.70375
SPY,2025-07-17 10:09:00+00:00,624.67,624.67,624.67,624.67,166.0,8.0,624.67
SPY,2025-07-17 10:11:00+00:00,624.62,624.62,624.61,624.61,413.0,11.0,624.614545
SPY,2025-07-17 10:12:00+00:00,624.72,624.72,624.69,624.69,406.0,13.0,624.704423
SPY,2025-07-17 10:13:00+00:00,624.66,624.66,624.66,624.66,367.0,10.0,624.66
SPY,2025-07-17 10:14:00+00:00,624.59,624.59,624.59,624.59,349.0,33.0,624.59
SPY,2025-07-17 10:15:00+00:00,624.6,624.6,624.6,624.6,587.0,17.0,624.6
SPY,2025-07-17 10:17:00+00:00,624.57,624.57,624.57,624.57,258.0,7.0,624.57
SPY,2025-07-17 10:19:00+00:00,624.61,624.62,624.61,624.61,2548.0,55.0,624.612469
SPY,2025-07-17 10:20:00+00:00,624.53,624.53,624.53,624.53,1202.0,18.0,624.53
SPY,2025-07-17 10:21:00+00:00,624.59,624.59,624.49,624.56,3161.0,41.0,624.576609
SPY,2025-07-17 10:22:00+00:00,624.53,624.53,624.52,624.52,5302.0,72.0,624.529758
SPY,2025-07-17 10:23:00+00:00,624.53,624.53,624.53,624.53,387.0,12.0,624.53
SPY,2025-07-17 10:24:00+00:00,624.5,624.51,624.5,624.51,635.0,14.0,624.503939
SPY,2025-07-17 10:25:00+00:00,624.45,624.48,624.45,624.48,323.0,5.0,624.47
SPY,2025-07-17 10:26:00+00:00,624.45,624.5,624.45,624.5,657.0,13.0,624.466667
SPY,2025-07-17 10:27:00+00:00,624.53,624.53,624.53,624.53,521.0,12.0,624.53
SPY,2025-07-17 10:28:00+00:00,624.59,624.59,624.59,624.59,407.0,13.0,624.59
SPY,2025-07-17 10:38:00+00:00,624.65,624.65,624.65,624.65,1083.0,7.0,624.65
SPY,2025-07-17 10:40:00+00:00,624.73,624.73,624.67,624.67,10845.0,62.0,624.697297
SPY,2025-07-17 10:41:00+00:00,624.71,624.74,624.71,624.74,2266.0,31.0,624.729375
SPY,2025-07-17 10:42:00+00:00,624.58,624.58,624.58,624.58,406.0,12.0,624.58
SPY,2025-07-17 10:43:00+00:00,624.58,624.61,624.58,624.61,867.0,16.0,624.603847
SPY,2025-07-17 10:44:00+00:00,624.51,624.56,624.51,624.56,795.0,15.0,624.55
SPY,2025-07-17 10:45:00+00:00,624.58,624.58,624.58,624.58,702.0,10.0,624.58
SPY,2025-07-17 10:46:00+00:00,624.67,624.67,624.67,624.67,203.0,6.0,624.67
SPY,2025-07-17 10:47:00+00:00,624.58,624.59,624.57,624.57,1685.0,24.0,624.578462
SPY,2025-07-17 10:48:00+00:00,624.44,624.44,624.44,624.44,884.0,23.0,624.44
SPY,2025-07-17 10:49:00+00:00,624.41,624.41,624.38,624.39,2219.0,69.0,624.395
SPY,2025-07-17 10:50:00+00:00,624.35,624.36,624.35,624.36,857.0,21.0,624.356667
SPY,2025-07-17 10:51:00+00:00,624.4,624.41,624.4,624.4,1031.0,14.0,624.401667
SPY,2025-07-17 10:52:00+00:00,624.41,624.41,624.32,624.32,5780.0,40.0,624.398525
SPY,2025-07-17 10:54:00+00:00,624.39,624.39,624.38,624.38,297.0,6.0,624.385
SPY,2025-07-17 10:55:00+00:00,624.36,624.38,624.36,624.38,2530.0,35.0,624.367368
SPY,2025-07-17 10:56:00+00:00,624.32,624.32,624.25,624.28,1360.0,38.0,624.278712
SPY,2025-07-17 10:57:00+00:00,624.27,624.45,624.26,624.44,7673.0,87.0,624.317138
SPY,2025-07-17 10:59:00+00:00,624.4,624.4,624.3,624.3,1996.0,19.0,624.35356
SPY,2025-07-17 11:00:00+00:00,624.3,624.31,623.98,623.99,18384.0,245.0,624.120324
SPY,2025-07-17 11:01:00+00:00,623.95,624.03,623.9,624.03,5504.0,73.0,623.976551
SPY,2025-07-17 11:02:00+00:00,624.1,624.1,624.02,624.04,3853.0,49.0,624.073086
SPY,2025-07-17 11:03:00+00:00,624.05,624.05,624.03,624.03,1400.0,37.0,624.04
SPY,2025-07-17 11:04:00+00:00,624.0,624.0,623.94,623.99,3634.0,65.0,623.986135
SPY,2025-07-17 11:05:00+00:00,624.01,624.16,624.01,624.16,1637.0,36.0,624.081739
SPY,2025-07-17 11:06:00+00:00,624.2,624.24,624.12,624.12,3448.0,47.0,624.177037
SPY,2025-07-17 11:08:00+00:00,624.26,624.26,624.23,624.24,1093.0,29.0,624.24
SPY,2025-07-17 11:09:00+00:00,624.22,624.22,624.22,624.22,206.0,4.0,624.22
